

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.005  000.005: --- NVIM STARTING ---
001.276  001.271: locale set
001.753  000.477: inits 1
001.772  000.019: window checked
005.502  003.730: parsing arguments
005.870  000.367: expanding arguments
005.987  000.117: inits 2
006.406  000.420: init highlight
006.408  000.002: waiting for UI
008.469  002.061: done waiting for UI
008.492  000.023: init screen for UI
008.514  000.022: init default mappings
008.684  000.170: init default autocommands
031.061  000.885  000.885: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/vim-monokai/colors/monokai.vim
054.892  035.411  034.525: sourcing /Users/caoyu/.config/nvim/settings.vim
055.216  000.204  000.204: sourcing /Users/caoyu/.config/nvim/jupytext.vim
055.221  046.321  010.706: sourcing /Users/caoyu/.config/nvim/init.vim
055.226  000.221: sourcing vimrc file(s)
061.472  000.026  000.026: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/csv.vim/ftdetect/csv.vim
062.086  000.023  000.023: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/fusion.vim
062.167  000.018  000.018: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/gdresource.vim
062.236  000.015  000.015: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/gdscript.vim
062.311  000.017  000.017: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/glimmer.vim
062.419  000.044  000.044: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/glsl.vim
062.523  000.025  000.025: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/gowork.vim
062.639  000.037  000.037: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/graphql.vim
062.769  000.043  000.043: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/hack.vim
062.882  000.034  000.034: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/hcl.vim
062.986  000.024  000.024: sourcing /Users/caoyu/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/heex.vim
